Respondent_ID,Q1_Age,Q2_Gender,Q3_MaritalStatus,Q4_Employment,Q5_Income,Q6_TripsPerYear,Q7_HolidayType,Q8_Budget,Q9_Priorities,Q10_BookingAdvance,Q11_InfoSources,Q12_BookingPreference,Q13_Accommodation,Q14_Africa,Q14_EAsia,Q14_Europe,Q14_NAmerica,Q14_Oceania,Q14_SAmerica,Q14_SEAsia,Q15_Customization,Q16_AdventureInterest,Q17_CustomServices,Q18_TechTrends,Q19_FuturePriorities
218,61,Male,Widowed,Retired,"A$150,000 or more",0,Cultural,"8,477",Price,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,Yes,Yes,No,No,Yes,Slightly important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
219,61,Male,Widowed,Self-employed,"A$100,000-A$149,999",6 times or more,Relaxation,"3,477",Activities/ Attractions,More than 6 months,Friends and family,I prefer a mix of both.,Camping/ RV,Yes,No,No,Yes,No,No,No,Important,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
220,61,Male,Divorced/ Separated,Student,"A$30,000-A$59,999",1-2 time(s),Adventure,"5,965","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,Yes,No,Yes,Neutral,Very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
221,61,Female,Married,Self-employed,"A$150,000 or more",6 times or more,Cultural,"6,604","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,No,No,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
222,61,Female,Married,Unemployed,"A$100,000-A$149,999",1-2 time(s),Relaxation,"8,094",Safety,Within 1 week,Travel agents,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,Yes,No,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
223,61,Female,Divorced/ Separated,Employed part-time,"A$30,000-A$59,999",3-5 times,Cultural,"2,538",Price,3-6 months,Guidebooks,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,No,Slightly important,Not very interested,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
224,62,Male,Widowed,Employed full-time,"A$100,000-A$149,999",0,Relaxation,"2,409",Safety,1-4 weeks,Travel agents,I prefer to plan everything myself.,Hotel,No,No,No,No,Yes,No,No,Not important at all,Not very interested,Flexible payment plans or advanced budgeting tools,"Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
225,62,Male,Divorced/ Separated,Student,"A$60,000-A$99,999",1-2 time(s),Adventure,"2,716",Safety,3-6 months,Travel agents,I prefer to plan everything myself.,Camping/ RV,No,No,Yes,No,No,Yes,Yes,Slightly important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
226,63,Female,Divorced/ Separated,Student,"Less than A$30,000",0,Cultural,"3,339",Price,3-6 months,Friends and family,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,Yes,Yes,No,No,No,Slightly important,Not interested at all,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)",Authentic culture immersion and unique experiences
227,63,Male,Divorced/ Separated,Unemployed,"A$150,000 or more",1-2 time(s),Relaxation,"6,604",Ease of planning/ Convenience,More than 6 months,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,Yes,Neutral,Neutral,Flexible payment plans or advanced budgeting tools,AI and apps for hyper-personalized itinerary planning,"Budget, value, and affordability"
228,64,Female,Widowed,Unemployed,"A$150,000 or more",3-5 times,Cultural,"5,229","Destination’s natural environment (e.g., mountains, beach)",3-6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,No,No,No,No,Yes,Neutral,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
229,64,Female,Married,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"6,530",Activities/ Attractions,Within 1 week,Travel blogs/ Websites,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,Yes,No,No,Slightly important,Neutral,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
230,64,Male,Married,Unemployed,"A$100,000-A$149,999",3-5 times,Cultural,"3,716",Price,More than 6 months,Travel agents,I prefer to plan everything myself.,Camping/ RV,Yes,Yes,Yes,Yes,Yes,No,No,Neutral,Not interested at all,"Practical and logistical support (e.g., visa assistance, travel insurance)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
231,64,Female,Married,Employed full-time,"A$60,000-A$99,999",1-2 time(s),Relaxation,"7,259",Price,More than 6 months,Travel agents,I prefer to plan everything myself.,Staying with friends or family,No,No,Yes,No,Yes,No,No,Slightly important,Not interested at all,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
232,65,Male,Widowed,Student,"A$30,000-A$59,999",3-5 times,Cultural,"5,638",Price,More than 6 months,Guidebooks,I prefer a mix of both.,Hotel,No,No,No,No,No,Yes,Yes,Neutral,Neutral,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
233,65,Male,Widowed,Unemployed,"A$150,000 or more",3-5 times,Adventure,"2,935",Price,More than 6 months,Friends and family,I prefer a mix of both.,Staying with friends or family,No,No,No,Yes,No,No,No,Neutral,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
234,65,Male,Widowed,Unemployed,"A$30,000-A$59,999",0,Urban,"5,447","Destination’s natural environment (e.g., mountains, beach)",More than 6 months,"Online travel agencies (e.g., Expedia, booking.com)",I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,Yes,No,No,Slightly important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
235,65,Female,Married,Unemployed,"A$100,000-A$149,999",0,Adventure,"6,112","Flexibility (e.g., flight times, cancellation policies)",More than 6 months,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,Hotel,No,No,No,No,No,No,No,Slightly important,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Enhanced connectivity and communication tools (e.g., translation, social apps)","Budget, value, and affordability"
236,66,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",0,Adventure,"4,400","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Guidebooks,I prefer to plan everything myself.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,No,Yes,Not important at all,Not very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
237,66,Male,Married,Student,"A$100,000-A$149,999",3-5 times,Cultural,"10,823",Safety,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,Yes,No,No,No,No,Slightly important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
238,66,Female,In a relationship/ Partnered,Employed full-time,"Less than A$30,000",0,Cultural,"3,101",Food/ Cuisine,3-6 months,"Social media (e.g., Instragram, TikTok)",I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,Yes,No,No,Yes,Not important at all,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
239,67,Male,Widowed,Student,"A$60,000-A$99,999",1-2 time(s),Urban,"5,930",Food/ Cuisine,3-6 months,Guidebooks,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,Yes,Slightly important,Not interested at all,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
240,67,Male,Widowed,Employed full-time,"A$30,000-A$59,999",0,Cultural,"3,601",Food/ Cuisine,More than 6 months,Travel agents,I prefer package tours.,Hotel,Yes,Yes,Yes,No,No,Yes,No,Neutral,Somewhat interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,Authentic culture immersion and unique experiences
241,67,Female,In a relationship/ Partnered,Employed full-time,"A$60,000-A$99,999",3-5 times,Cultural,"4,551",Price,3-6 months,Travel blogs/ Websites,I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,No,No,No,Yes,Yes,Not important at all,Neutral,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Budget, value, and affordability"
242,67,Female,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",3-5 times,Cultural,"3,046",Price,More than 6 months,Travel blogs/ Websites,I prefer package tours.,Hotel,No,No,No,No,No,No,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Enhanced connectivity and communication tools (e.g., translation, social apps)","Relaxation, wellness, and disconnecting"
243,67,Female,Married,Student,"A$100,000-A$149,999",1-2 time(s),Cultural,"2,605","Destination’s natural environment (e.g., mountains, beach)",3-6 months,"Search engines (e.g., Google)",I prefer package tours.,Staying with friends or family,No,No,No,No,Yes,No,No,Slightly important,Not very interested,"Booking local activities, tours, and unique experiences",Virtual or Augmented Reality (VR/AR) to preview destinations,"Budget, value, and affordability"
244,68,Female,Divorced/ Separated,Employed full-time,"A$30,000-A$59,999",1-2 time(s),Cultural,"1,855",Price,More than 6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Hotel,No,No,Yes,No,Yes,No,Yes,Not important at all,Not very interested,"Practical and logistical support (e.g., visa assistance, travel insurance)",AI and apps for hyper-personalized itinerary planning,Sustainable and responsible travel
245,68,Female,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Adventure,"5,888",Food/ Cuisine,3-6 months,"Social media (e.g., Instragram, TikTok)",I prefer a mix of both.,"Vacation rental (e.g., Airbnb)",No,No,Yes,No,No,No,No,Neutral,Very interested,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",AI and apps for hyper-personalized itinerary planning,Authentic culture immersion and unique experiences
246,69,Male,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",3-5 times,Urban,"5,667","Flexibility (e.g., flight times, cancellation policies)",More than 6 months,Travel blogs/ Websites,I prefer a mix of both.,Hotel,No,No,Yes,No,No,No,No,Neutral,Not interested at all,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Sustainable and responsible travel
247,70,Female,In a relationship/ Partnered,Unemployed,"Less than A$30,000",0,Adventure,"2,912",Safety,1-4 weeks,Friends and family,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,Yes,No,Yes,Slightly important,Neutral,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)","Seamless in-travel tech (e.g., contactless check-in, digital keys)","Relaxation, wellness, and disconnecting"
248,71,Female,Divorced/ Separated,Employed full-time,"A$60,000-A$99,999",3-5 times,Relaxation,"4,931","Destination’s natural environment (e.g., mountains, beach)",1-4 weeks,Guidebooks,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,Yes,Yes,Yes,No,No,Yes,Neutral,Not very interested,"Booking local activities, tours, and unique experiences","Seamless in-travel tech (e.g., contactless check-in, digital keys)",Authentic culture immersion and unique experiences
249,74,Male,Divorced/ Separated,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Adventure,"2,272",Price,3-6 months,Travel blogs/ Websites,I prefer to plan everything myself.,Camping/ RV,Yes,No,No,No,No,Yes,No,Slightly important,Not interested at all,"Specialized all-inclusive packages (e.g., for families, luxury, or adventure)",Virtual or Augmented Reality (VR/AR) to preview destinations,"Relaxation, wellness, and disconnecting"
250,75,Female,Widowed,Employed full-time,"A$100,000-A$149,999",1-2 time(s),Relaxation,"6,580",Ease of planning/ Convenience,Within 1 week,Travel agents,I prefer package tours.,"Vacation rental (e.g., Airbnb)",No,No,No,Yes,No,No,No,Not important at all,Not interested at all,"Booking local activities, tours, and unique experiences",AI and apps for hyper-personalized itinerary planning,"Relaxation, wellness, and disconnecting"
